Label
learning outcome
sound reproduction
issr
diffie-hellman problem
broadband isdn
memory interface
humanoid robot
adaptive modulation and coding
second-order statistics
view maintenance
spectrum utilization
singularly perturbed
time windows
grassmannian
computerized tomography
cepstral features
p600
requirements modeling
gate-leakage current
kademlia
object classification
symbol timing
color segmentation
impedance bandwidth
automatic test generation
gps signals
fpga implementation
back-propagation neural network
user selection
computing with word (cww)
demultiplexer
handwritten word recognition
ordered weighted averaging
optical computing
ieee 802.22
data races
clinical decision support
accuracy assessment
ofdm signals
intelligent environment
design concerns
knowledge acquisition
singularity
service robotics
"(min ,max ,+) functions"
routing problems
principal component
attribute-based encryptions
image search engine
cathode ray tubes
"radiotherapy, image-guided"
qos attributes
relational data model
audio acoustics
dna computation
lossy source coding
php: hypertext preprocessor
mechanical product
mobile agents
wavelet analysis
real-time rendering
information hiding
object tracking
refractometers
theoretical computer science
uhf rfid
differential cryptanalysis
maximum power point tracking
personalized search
sdm
saluta
unified modeling language (uml)
mac address
hierarchical clustering algorithms
boolean formulae
in-network data aggregation
radar interferometry
semantic relationships
digital radiography
mean absolute error
human actions
multiple-path
semi-fragile watermarking
avoiding obstacle
de-noising algorithm
control system stability
ess
rhodococcus equi
nd: yag
mobile sensor networks
"students, pharmacy"
rls algorithms
radio direction finding systems
personal data
survivability
specific absorption rate
single-core processors
epipolar geometry
markowitz
envisat-1
superscalar
kernel methods
outage analysis
mobile adhoc network (manets)
fingerprint identification
personalizations
robust exponential stability
natural languages
index weight
product line
revenue
graph embedding
phased array radars
mobile manipulators
human emotion
multimedia stream
ai applications
cross-cutting concerns
gaussian beam
post-conditions
diversity gain
impact analysis
attitude tracking
word spotting
image databases
surface integrity
secure multi-party computation
cutting force
database
chip multiprocessor
unstructured p2p
threshold scheme
wideband speech
error-resilient
isabelle
quasi-cyclic
slepian-wolf
functional dependency
machine to machines
whole sale prices
semantic wikis
haar-like features
storage nodes
darwin
mimo detection
discrete event systems
oscillistors
usability test
printed monopole antennas
